ID,Bacilli,Clostridia,Bacteroidia,Betaproteobacteria,Gammaproteobacteria,Actinobacteria,Fusobacteria,Flavobacteriia,Epsilonproteobacteria,Sphingobacteriia,Erysipelotrichi,Deltaproteobacteria,Spirochaetes,Mollicutes,Nostocophycideae,Alphaproteobacteria,Chlamydiia,Group II,Deinococci,Oscillatoriophycideae,Opitutae,Ktedonobacteria,Anaerolineae,Synergistia,Nitriliruptoria,Acidobacteria,Thermotogae,Synechococcophycideae,Fibrobacteria,Brocadiae,Deferribacteres,Holophagae,Thermodesulfobacteria,Thermoprotei,Caldithrixae,Nitrospira,Dehalococcoidetes,Leptospirae,Acidimicrobiia,Verrucomicrobiae,Archaeoglobi,Chlorobia,Chrysiogenetes,Methylacidiphilae,Spartobacteria,Planctomycetia,Thermobacula,Methanomicrobia,Gemmatimonadetes,Thermoleophilia,Chloroflexi,Armatimonadia
15046B,7136,10107,20597,10428,5514,2440,10531,1552,1054,518,24,89,285,133,36,22,15,17,15,19,5,10,21,26,3,8,1,1,1,5,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
15046A,2612,4621,7801,3310,2618,749,3459,606,546,182,22,44,75,42,26,10,5,0,4,3,7,0,4,4,0,0,1,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15045B,2191,3090,3164,2398,1656,911,3243,339,317,193,8,46,18,44,42,17,3,4,4,7,4,2,2,4,2,2,2,1,0,1,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15045A,4934,11268,11433,8237,5593,2155,10102,1240,955,487,16,40,123,78,18,11,8,3,8,10,1,5,0,33,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15044B,3980,7740,9036,8014,5587,1615,7719,609,505,249,26,126,43,64,23,38,26,28,13,9,5,10,9,7,0,0,2,2,1,0,3,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15044A,3163,8849,9861,5954,4698,1541,7719,724,456,219,17,67,31,36,29,14,8,2,11,4,4,9,4,5,0,1,1,0,0,3,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15043B,6546,11036,8248,14053,4003,2996,11416,1162,1516,405,28,137,294,154,76,59,20,23,15,14,16,7,19,10,2,2,2,0,1,5,1,3,2,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15043A,6440,13402,10461,17066,6221,3474,13720,1340,2180,531,35,88,335,134,57,27,6,3,23,20,5,9,11,13,0,2,1,3,1,3,0,2,0,6,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15041B,1445,3641,3738,4553,1529,846,3593,395,659,120,7,25,79,34,18,13,3,2,5,5,2,1,2,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
15041A,1789,3125,2133,2989,1028,870,2091,276,386,85,11,37,40,61,54,20,8,0,7,10,4,3,9,4,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15040B,2524,7953,6001,6879,2301,1680,6514,813,1297,194,23,70,199,97,30,27,17,6,7,20,11,4,6,5,0,3,1,0,0,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15040A,1479,3400,3991,3153,1076,829,4138,464,860,91,13,33,81,51,18,13,4,0,6,3,5,4,3,3,0,0,3,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15039B,2223,1265,2882,947,987,397,577,153,122,95,7,28,4,14,15,19,6,61,3,3,6,4,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15039A,7521,7405,16724,3153,3017,1491,3634,823,337,270,18,65,58,64,31,19,7,3,4,3,5,9,7,9,3,1,1,2,0,8,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15038B,6557,8135,9273,7797,3898,2235,6626,794,658,291,30,79,51,57,55,22,15,6,8,8,10,8,9,17,1,2,0,0,1,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15038A,5828,8690,10484,8721,4558,2254,6922,758,713,290,15,56,34,50,33,24,9,1,6,5,8,1,4,9,3,1,2,1,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15035B,16025,7745,4884,2656,5919,3809,1770,460,126,55,27,41,16,40,29,18,15,5,4,4,1,7,3,2,1,2,1,1,0,2,1,2,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15036B,26348,18912,14068,2880,9123,10356,1838,898,624,74,96,72,17,41,31,36,32,1,8,4,5,1,5,2,3,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15035A,18129,9191,4914,2273,6213,5771,1730,468,140,44,33,35,7,37,50,12,6,1,7,6,4,12,7,4,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15033B,6030,3962,3728,2243,15981,857,1605,779,364,167,16,149,169,36,26,34,17,17,8,13,4,7,10,48,1,1,1,3,1,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15032B,45067,11342,25400,5560,8775,3883,1747,1700,434,254,209,153,45,97,60,59,70,280,21,16,13,16,5,4,2,6,3,4,3,2,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15032A,16489,10578,17973,3513,6006,1636,1374,813,260,102,70,66,28,48,36,24,28,0,7,13,6,11,7,10,1,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15031B,8121,6746,8371,2432,6704,1603,659,603,361,119,77,76,16,50,29,36,39,38,9,6,8,6,8,2,1,1,0,1,4,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15031A,9498,10232,10905,3248,8274,1772,1074,763,358,104,117,68,49,66,20,23,22,1,5,3,7,4,7,2,2,1,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15030Z,39759,23122,7684,5293,4145,3453,2253,1672,84,77,328,62,6,43,47,24,12,0,11,7,6,9,4,6,4,6,0,1,0,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15030A,23970,9979,5392,3477,1830,2157,1110,768,66,75,138,89,6,78,89,41,31,8,21,18,10,13,6,4,6,7,0,2,1,2,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15029B,9707,18557,8299,1350,3124,2614,1178,708,277,78,72,47,35,50,61,18,15,5,10,3,2,1,4,5,2,0,2,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15029A,15688,37335,14990,2383,6996,5136,2267,1187,582,108,126,68,45,87,144,19,21,2,10,5,3,4,4,7,4,1,1,0,0,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15027B,13653,6181,6051,6197,3038,2397,3754,876,134,155,51,61,38,28,21,27,6,12,8,8,1,2,3,3,0,2,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15027A,186392,126133,96276,67891,65741,28091,56845,12832,2679,1698,927,477,536,387,128,133,59,16,71,42,42,27,28,18,5,6,6,7,5,7,8,5,12,2,5,0,1,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0
15026B,9149,2767,3143,1573,1000,1906,2788,1083,121,73,23,34,34,18,16,12,5,33,4,6,2,5,3,0,2,1,2,0,1,1,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15026A,20608,16070,10285,3111,6551,3868,10297,3066,664,208,56,86,61,56,55,22,7,4,9,8,3,7,4,5,1,1,2,0,1,2,3,3,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15024B,6830,28784,12988,2780,1346,10517,3231,1161,1142,201,196,90,53,55,82,26,20,31,7,12,10,13,8,13,2,1,2,6,3,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15024A,6457,24345,7027,2158,992,11673,2764,822,798,167,173,59,49,54,195,22,12,3,14,13,6,13,3,12,6,2,1,0,1,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15023B,9648,20404,11199,629,967,6884,523,743,422,88,200,61,13,57,162,22,28,9,9,17,5,9,4,3,4,1,2,5,7,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15023A,13499,30786,15857,498,1118,12210,691,1042,637,114,305,51,25,43,225,17,20,3,14,21,1,12,3,2,4,2,2,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15022B,29653,21089,10825,2034,1284,3917,1035,474,615,103,122,42,27,29,36,21,26,24,6,8,6,6,10,1,3,1,0,3,2,2,2,1,2,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15022A,32508,17301,7398,1507,1051,4153,728,318,517,68,133,30,19,30,21,17,12,2,5,4,4,1,5,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15021B,23055,11053,2831,940,565,3369,121,263,99,53,25,35,4,31,37,18,7,8,7,3,6,3,1,1,4,3,2,1,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15021A,25832,12021,2715,856,513,4048,63,260,109,35,34,16,2,9,18,12,5,2,5,1,5,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15020B,9686,15295,8694,3709,2249,3815,3531,1051,794,133,62,53,32,34,19,27,19,7,5,10,2,2,9,1,1,1,0,3,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15020A,11930,29410,16983,6816,4596,5516,6576,2001,1760,190,54,64,62,52,27,26,22,2,7,4,4,3,3,3,4,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15019B,8237,35387,13755,1035,2211,5681,7056,2075,3667,140,38,56,72,50,26,24,16,1,17,4,5,4,6,2,1,0,1,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15019A,5696,18219,8177,690,1261,3608,3777,1285,1866,89,27,62,42,43,24,16,15,3,14,12,3,5,5,1,0,4,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15017B,53245,22906,28917,37758,30233,6286,15070,8014,1841,517,97,266,548,121,64,97,28,37,28,23,83,12,20,25,1,4,9,2,1,4,4,2,1,0,5,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15017A,27704,8644,6948,11374,9838,2452,3090,2168,613,162,51,73,109,32,19,12,11,5,3,4,33,3,2,11,0,2,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
15016C,10262,17127,4284,2825,746,1594,1405,1124,460,83,105,36,4,36,25,19,11,2,6,13,5,3,5,1,0,2,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
15016D,5495,12233,2312,1669,422,835,1004,866,382,53,59,32,3,24,28,4,2,0,6,3,2,1,1,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15015B,1044,718,177,317,220,278,81,28,30,29,4,27,4,11,44,23,4,0,3,14,5,5,4,1,2,0,4,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15015A,142,97,60,44,26,36,15,4,6,1,0,1,0,2,15,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15014B,13553,2386,587,907,284,2024,128,198,24,34,140,26,7,19,14,14,8,23,8,4,3,2,3,1,3,2,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
15014A,1110,537,198,147,138,203,46,28,12,9,16,14,2,8,11,13,5,1,3,3,1,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15013B,59589,13108,13977,10776,7850,3450,2911,2739,512,274,116,119,99,99,44,45,14,14,13,17,4,5,5,2,1,1,0,2,1,3,1,2,3,3,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15013A,15820,4943,6348,5553,9131,1047,4544,1638,655,119,38,54,25,29,19,14,6,1,7,3,4,3,1,3,0,3,0,1,2,1,1,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15012B,60644,12825,5194,18130,12785,1986,2397,2516,352,304,114,134,137,117,34,68,17,24,30,19,20,14,12,0,4,2,5,2,3,5,2,4,2,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
15010B,4021,2316,2673,3766,1974,2064,988,366,98,65,39,44,21,32,28,20,12,0,2,9,9,2,2,0,3,0,1,1,3,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15010A,12238,6075,9692,12297,7820,5793,3016,1270,325,171,115,53,91,41,21,16,6,2,9,2,4,2,2,4,0,0,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15009B,169208,52261,40808,88851,92120,54687,22570,11375,2146,965,230,515,231,263,142,152,48,58,58,42,38,40,34,12,5,8,5,4,9,3,8,9,4,3,4,4,1,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0
15009A,25304,8975,6852,11221,14499,6708,3438,1849,399,178,29,55,21,43,37,18,10,2,14,11,3,15,8,1,4,0,3,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15008B,8258,3482,562,958,217,1023,211,494,37,24,225,37,5,19,14,13,6,1,4,3,3,6,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15007B,22851,34236,7899,3480,2651,8181,677,1442,880,206,183,87,3,47,124,30,11,4,13,10,6,10,1,3,3,3,3,2,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15007A,18781,30073,4775,3422,2627,4419,447,1014,694,119,81,32,0,24,115,21,4,1,11,10,1,3,4,0,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15006B,3522,2622,3246,2653,1767,579,1482,398,240,82,8,39,54,21,30,13,9,0,6,4,5,4,2,4,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15003B,3163,2089,4029,824,489,723,412,240,114,52,81,23,15,27,6,26,16,10,11,7,1,2,2,2,5,8,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15002B,21718,27918,15250,806,2056,5230,2229,1273,808,326,32,62,14,57,65,19,22,0,11,10,6,7,5,4,5,3,2,2,2,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15002A,21428,25947,14012,788,1793,5286,1958,1194,901,320,50,37,5,37,47,17,15,1,5,6,2,5,2,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10558D,7870,27984,15887,1028,3144,5865,522,603,255,98,38,38,29,38,39,11,15,4,4,13,1,9,2,2,2,0,2,1,3,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10558C,7100,19141,11633,1166,2180,4189,425,489,171,91,21,45,38,29,36,13,14,5,12,9,5,8,2,1,1,1,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
